id,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,category,ts
92c2c94f-83d8-411f-ae7b-ce8ba2e60f64,488.238255,301.755986,257.826765,256.944943,965.726684,555.831418,298.186432,699.720732,D,1670000000
4bd5a000-2bf0-4452-88d9-fa2e8ea9d414,447.85358,447.190658,682.367421,323.035571,113.480374,776.576631,325.295064,992.889016,C,1670000001
7fd653a6-27e1-4b7d-ac0e-aa2445686aff,106.244054,585.14043,809.034288,939.103219,3.753193,669.364431,699.02361,320.043971,A,1670000002
3c37852f-b6f9-445f-a199-ba81f6c6ccd3,984.520857,77.431927,698.780533,450.83289,349.382521,641.272237,6.253549,813.23957,C,1670000003
326a9ae3-bfae-4ad1-a958-5161b577f9dc,845.706573,549.510001,438.646181,72.920062,39.98268,390.139746,229.259878,881.199241,C,1670000004
4408b1aa-9e5f-4ebd-a690-93e6420c55e3,578.54738,179.90852,632.845537,834.77731,421.897858,581.845347,440.362513,454.161694,B,1670000005
e313eff2-f381-44ed-8dd3-d053bd89f678,638.08499,686.749964,999.354277,724.245967,56.305093,716.279835,704.709214,230.60685,B,1670000006
3e1f3b56-f2f4-4d8b-bdf1-784d89a8d87b,300.661757,632.865936,459.93712,117.415852,958.268831,221.853945,746.085987,757.579968,A,1670000007
ed47af50-8c12-40d1-a8ff-6aa058d18c5a,464.274344,35.986222,471.537693,773.568365,663.696193,599.925081,412.968535,508.543165,B,1670000008
ec1566df-133f-4014-b57c-859658a92f45,988.741012,19.597246,705.885343,599.752184,119.097959,768.353321,940.496778,948.148149,B,1670000009
4b56df1c-95c4-4941-bb5e-178720484f12,539.600066,498.896633,68.315189,687.521623,404.66467,510.300418,517.354215,662.787753,D,1670000010
3a7d83c9-1dbc-47f8-ac7e-3abbe68aa7f2,887.399186,142.212698,88.537697,451.096207,723.915935,833.514212,348.786654,354.872337,D,1670000011
48a4835a-263f-430d-8713-daf7c2508451,595.731862,529.810724,45.693612,272.943139,581.6629,878.399085,897.479106,457.091955,D,1670000012
ee2f6479-5939-4a71-85a4-0407dbf72bab,724.59848,704.195169,439.910452,319.305098,85.959372,987.165831,970.588739,32.771281,D,1670000013
f67977e0-abe4-4187-8afd-bb3c8e2d4a35,925.798321,729.525523,564.705149,391.195739,194.800668,386.277427,929.944556,116.922864,C,1670000014
e742dba5-7111-412b-a575-5177d18a1445,989.113336,786.96258,784.035815,637.854396,760.792136,501.629081,905.621179,907.615695,B,1670000015
34da153e-17be-4640-949f-ef11caad75b3,340.272167,977.693262,59.082036,560.290998,546.958499,216.270596,369.058996,598.393226,C,1670000016
066d2181-62a6-4caf-9c0a-600977e06b92,812.517653,424.962247,17.926043,501.328889,725.184059,126.032845,953.764638,743.158121,B,1670000017
820d281d-6a8b-4372-8bab-efe937c2bdb9,424.688941,392.690618,470.083203,411.310674,341.696628,954.595305,348.469852,768.442926,C,1670000018
b77687f4-a6bf-47d0-917b-ea6c52413d96,431.968595,477.741976,603.082575,898.584558,711.397063,707.960688,594.686862,924.380441,A,1670000019
83fa57d4-0ad3-4cee-8c1f-f67af9b532a9,59.939745,847.909597,963.956889,200.719652,196.035376,97.883766,547.895738,811.54383,B,1670000020
98bdcd47-1230-4743-90fa-779d135ddaf4,381.075143,885.292707,771.185916,556.690442,688.751783,612.914555,603.089642,264.290942,C,1670000021
d6199a61-9bbb-4c11-9688-bcb41f57706c,386.676054,341.999805,971.580488,18.744975,276.904965,186.315033,606.739818,208.243053,B,1670000022
02d8cf1f-6d23-4565-92c3-ea210f978ffe,200.892592,718.489202,16.150333,232.169981,822.342663,204.940935,14.880324,121.820097,B,1670000023
c5071123-49d6-4c99-8774-4e03327570c0,376.543459,843.948222,408.834581,993.886984,378.596302,177.387481,872.114104,717.825168,D,1670000024
814b7af2-8fba-4039-ab4b-23b4d5477d48,91.587101,427.879053,271.00037,712.493596,321.599476,191.28179,78.599039,405.033921,B,1670000025
cb26ca29-edf7-4c92-a340-51862b87ae73,743.067643,447.969723,198.862474,682.098721,121.781141,109.387114,180.227523,624.687941,C,1670000026
de1487e2-48d4-400b-b374-407ae0f7efaf,544.425714,412.125986,147.171911,220.609054,438.747089,680.590028,852.874673,518.823555,B,1670000027
2227292b-a315-4b4c-99cc-b7eb0525d805,546.005736,219.853975,479.280162,165.750998,205.974353,593.877811,235.260118,558.603311,D,1670000028
0071a3da-c134-4fbc-acad-b6ad13b14aa8,52.278475,279.505808,265.982148,39.452761,313.501616,769.004572,855.94411,437.496513,A,1670000029
a6881899-bf3b-49cd-a433-b9c2b0f93224,30.105331,118.989455,39.970494,583.25242,591.118356,857.460279,251.596064,117.606834,C,1670000030
d9a3843a-e63c-417d-a479-58b905ac123c,159.630865,41.409389,583.742531,112.450369,585.553726,369.221634,182.62439,39.791019,C,1670000031
89362acd-72e9-4414-ae20-6b56932443e9,127.926158,468.377594,374.683234,988.070858,71.306763,28.591435,533.436013,235.014057,C,1670000032
33b73713-d966-4e3e-8c7c-02c92ad151c2,112.820419,729.983482,145.188611,323.918484,885.567571,66.348701,931.755113,475.930351,A,1670000033
6cc3c84d-ae53-4f5e-b3ac-a3bd1dd061d6,630.347352,236.005873,493.63083,93.997263,647.152325,766.757223,964.179345,211.708063,C,1670000034
ef9ef5e4-fb39-4b32-bc6b-83845e68de00,212.80983,428.549054,873.829821,637.669369,987.694498,390.191057,233.749848,326.77646,B,1670000035
d9efe96f-5f45-4a1f-977a-865443a7f75a,746.652193,777.64142,474.354619,915.507429,781.673609,901.757413,159.656652,605.879665,C,1670000036
00ca5d5d-7acf-4753-ade5-f7a9a546d491,945.095369,515.22816,723.661952,227.374213,921.526271,624.611069,459.251448,182.956597,D,1670000037
d7721512-44cb-4676-9f93-e9fbcdd1106a,424.886542,817.435358,291.569385,684.621692,566.907712,211.768468,140.848796,804.088481,C,1670000038
3fcdebc4-4360-4007-84d4-a48600b869ad,167.937046,638.607186,750.312492,894.341116,404.333554,924.856239,48.406454,848.484925,D,1670000039
4817884c-210f-41ff-b23b-d7032de2a2c0,708.837653,834.129481,925.451609,609.611695,602.494483,607.586172,412.711023,974.537632,D,1670000040
d5fd8cc7-fd65-4da4-955d-dbb20ffdf0d1,202.509096,626.834886,78.879847,10.771455,347.411238,961.639727,866.100865,218.43937,B,1670000041
f470592a-fb01-4bb0-8235-0dfe52026753,696.451006,84.574057,551.614676,227.177452,143.231705,904.078321,348.201791,0.968233,B,1670000042
09df83a0-dcee-4d96-a4b5-faf4f370c2c3,842.921021,624.467698,407.009926,943.879079,118.664727,65.851207,120.886148,146.504086,A,1670000043
b733d841-9d5f-4548-bb15-d8ccc6025965,515.141211,432.239121,641.490685,297.4508,203.20117,598.696568,142.677249,227.362522,C,1670000044
3b2a70d3-de8f-4462-9063-b2000a9415bf,326.135126,422.375761,257.439026,252.374574,393.642112,9.940654,456.660356,920.855364,D,1670000045
fbcca46c-2653-44ac-a7e9-a734b5f53433,699.838395,425.278208,695.459719,801.466278,751.2476,182.531981,628.723708,240.927305,A,1670000046
5b55e303-3e18-4dcf-be13-87b1f93bde13,790.3336,768.322594,675.17308,132.639974,741.663784,978.331158,815.566701,690.091827,C,1670000047
b055c69d-f9ad-4492-b2c7-69ccf129baa5,832.771979,38.307629,360.186748,761.793952,603.779933,430.354106,604.088754,998.102742,B,1670000048
d38b000b-1b82-49e7-aaa9-2a50d193d23d,573.296491,678.682494,147.44071,938.584572,25.130356,158.569701,461.958825,38.892609,B,1670000049
dae852aa-c130-4263-8dee-153886ec8eaf,917.685811,178.771532,557.978484,430.610249,922.180744,324.83817,757.635692,806.599776,A,1670000050
b3271ebf-d077-4893-b094-a8ad4c7632b7,905.669132,717.90324,752.243199,438.92026,883.099909,3.171513,323.043575,564.092087,C,1670000051
8d11a8ce-0cb1-4d3a-b4cb-392f7404e196,306.679316,839.552652,357.862648,645.711142,664.939538,382.194289,128.662018,83.141997,D,1670000052
5a453bfe-7db1-40c0-91ca-36266529f1b8,503.233563,504.046474,936.220417,935.819433,718.623863,623.516793,177.550052,788.86923,B,1670000053
cab5029b-d4dd-487e-9d09-16d27e41261f,356.121625,60.435342,200.609828,52.604116,609.635398,926.31504,500.055335,223.138711,D,1670000054
8d1621b3-51c2-4fbc-8b31-11a92952e05b,328.279648,584.948414,494.503494,977.365682,108.583892,220.531555,840.181813,208.084877,B,1670000055
60ad7ea6-9b65-42fe-bbce-dfe4fa7a9d9f,156.384523,94.788527,812.737162,260.831522,435.157384,607.518872,315.092771,70.003296,B,1670000056
8c5c42d9-80a3-49a8-bf53-35a0c96d4aa6,234.891505,995.539988,113.339592,27.983412,515.430182,8.305673,380.444056,418.77795,B,1670000057
eb26f4da-eea9-4388-84dd-06018d8681e6,296.89159,37.41219,627.530806,541.909733,393.97476,441.617599,708.728015,771.769635,A,1670000058
d84a690f-5428-4334-94fe-4c6d18b68c5b,820.945274,152.884274,834.672212,872.813635,749.209843,576.896174,820.086749,490.298482,D,1670000059
d9193641-cf4b-4734-8fef-d10904889ed6,683.612553,854.879022,948.612604,411.226634,312.513943,916.163533,331.116204,87.476599,B,1670000060
f39c4ca9-6896-4b40-b3fd-50a3d764c037,303.928351,734.595788,961.876377,368.588645,159.118453,774.461378,763.938314,387.77898,A,1670000061
74297e8d-6266-48bd-af99-6ac69c854b94,176.875489,97.116847,692.600292,45.544815,8.262336,924.917779,951.633797,300.203742,C,1670000062
f78ebfeb-d646-4237-8f5e-9167321da532,898.722097,509.187368,715.026592,436.739092,611.894285,191.927122,148.562624,385.570743,C,1670000063
c9026d91-f52e-4388-baaf-7a8e98b6563c,620.312461,165.514443,382.370264,285.242354,790.35041,136.87479,719.349336,980.113607,B,1670000064
2def3d04-25c7-4da5-a4f2-35003289fe1a,344.161903,442.702714,822.309511,761.021731,265.35813,385.231813,580.065991,768.683219,B,1670000065
c72daa31-0315-42ef-b50a-9bcb69e7ab9d,29.094219,276.755914,324.973437,208.830467,449.47262,112.881566,307.845439,587.598991,D,1670000066
923312ce-314b-4ac2-aebd-2c22ce35f5bc,584.301542,676.401153,22.845628,29.457991,752.165248,132.006925,873.815163,748.366311,D,1670000067
122ada66-8dd5-451b-a83b-34204154948d,262.730117,57.290671,440.105679,807.963244,502.889465,312.253896,435.055222,509.753376,A,1670000068
1b5a14d5-2296-49c7-83f3-c3655a789c08,445.46968,134.459382,914.932295,538.432538,935.190483,704.182202,610.065859,75.975214,D,1670000069
660d0436-9b6c-41e2-b57f-9b0a349e8273,84.083572,706.815374,453.235576,764.52552,126.704305,381.807705,740.406162,823.555144,B,1670000070
c63ab132-5ff6-41a2-a859-2c7dd184aadf,916.506728,104.014469,748.036027,350.74501,367.749915,639.70128,494.997711,679.763167,D,1670000071
fe824926-a469-4c74-89cd-9939d5801573,630.042992,817.736116,137.926687,119.440136,237.075343,788.669657,55.223838,821.439264,C,1670000072
badcc475-58a1-4567-8424-0ec1afcca4b0,121.195963,205.220258,382.167604,809.908636,235.160915,52.895002,299.38242,429.997136,B,1670000073
1017a388-8309-41c6-8101-e1bef66887a9,590.794854,317.112556,193.551391,762.188133,337.910434,792.936774,859.054289,143.514361,D,1670000074
80dd2cea-3620-4385-af50-5999f716f2c3,314.01199,171.716901,851.826348,148.178629,380.143914,443.942619,18.770978,875.127671,C,1670000075
eb049ba8-d7c8-443e-a11b-f134d9e59169,571.070407,18.640814,169.776341,476.33538,739.522023,894.173928,494.525508,440.66646,A,1670000076
22dccda3-12a9-42b8-ac28-18807a7c4b47,421.288499,598.419615,528.382261,619.029562,102.616712,44.847514,346.143687,243.150695,C,1670000077
c4842563-b1c2-40f1-ba1f-68324379c268,501.538972,652.300392,522.787316,715.400214,530.005861,771.355221,689.579579,563.304618,A,1670000078
8eb726be-d58b-4655-99b9-ecbc13ecce12,184.720359,802.909,121.257653,624.641809,478.263347,467.449418,28.66472,835.521434,B,1670000079
c5468f0c-cf33-44f5-83da-ea1ac697adc4,343.822747,855.818547,266.46567,250.727687,142.284073,618.601182,609.250474,1.926278,D,1670000080
755ec2c7-81dd-4100-b358-cf0ad162bb78,474.179132,448.36998,477.774333,862.741147,4.07366,800.946077,409.482375,710.888263,B,1670000081
ed92f116-94b4-4c13-939f-baace52b41f0,806.33361,525.714854,731.734997,73.637698,512.780604,881.997284,919.392754,994.376303,D,1670000082
25d852cd-754d-489c-bbf8-f57c431c4ee9,371.025528,923.179233,462.22486,861.357977,658.385391,350.772464,181.489688,29.442694,B,1670000083
30a483ef-9ceb-4145-90ee-0881011e12b6,540.914838,138.159623,249.798116,185.371639,690.925889,858.438785,165.606996,672.49614,D,1670000084
3f1934aa-cb34-4dc4-820f-cb2c25351cfe,548.658041,970.163138,536.16128,264.451837,66.406814,335.023794,516.439762,539.338102,C,1670000085
428d5c4f-0d29-4144-8036-68ddd322e76e,757.678915,575.467645,958.813708,318.620687,527.709088,773.996763,212.079383,694.002698,D,1670000086
a04b594f-75f4-46ea-adc9-3a7b3c51b800,560.057251,723.490442,829.455382,188.438865,729.500685,566.509119,79.676625,145.750429,C,1670000087
a9318182-3a11-44a8-9bdb-b09f8c1231fd,521.881596,597.148977,247.454412,126.118466,93.720338,548.40606,287.572111,740.342081,B,1670000088
52154167-a468-47c0-9c8a-2e39d80bf00c,725.7714,364.210686,23.45726,755.07334,684.498827,555.100008,857.998055,433.434194,B,1670000089
b5d9c268-1128-4c5e-af6d-e1589fd2b4ba,374.778859,376.177948,74.873706,895.339864,4.355932,340.21485,930.238218,268.06737,B,1670000090
44571c86-b33f-4584-82c0-bdcaa36a0272,662.537243,825.350315,135.232685,356.238959,224.875189,210.415196,728.624927,173.597721,A,1670000091
c2420f23-48e8-470b-909b-b6afa45f7a93,171.026944,597.594318,20.477124,988.037297,49.809504,460.450781,749.382765,74.924919,C,1670000092
4db9fe4d-08f4-498d-8f6c-63a2e5b69e1a,556.722478,202.305283,91.238848,914.424924,426.394508,278.417554,734.70618,207.878629,A,1670000093
5605ca5a-f0ff-4943-abfa-fbc37626e233,6.270958,55.607214,263.645307,551.771037,251.348495,548.787896,786.122766,57.798237,A,1670000094
792be086-609b-4ed8-bdf8-8f6f6bc1b953,304.999224,690.055489,550.367981,230.939004,938.399304,721.329115,671.281402,613.92628,C,1670000095
ef47225d-eedd-4244-a834-18915724087a,482.874331,486.79985,542.521855,201.392633,367.555329,786.51673,269.966996,540.006,C,1670000096
7b1492cf-b9be-408d-991a-f58e3255daff,10.663196,118.014718,721.999728,395.881229,658.313331,527.485851,983.505501,700.607106,C,1670000097
91efb7d6-1860-4e89-b481-fc0b1724e187,863.951419,778.005306,130.97831,406.748752,240.068331,424.864426,793.878125,27.122641,C,1670000098
75ddc24e-932e-4d3e-bfd0-7b336337db35,540.402107,251.407175,162.667259,859.695453,257.793631,99.788997,860.95397,849.104611,B,1670000099
